Product Name,Technology,2G bands,Untitled,3G bands,Untitled,4G bands,Untitled,Untitled,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Untitled,Type,Size,Resolution,Protection,Untitled,OS,Chipset,CPU,GPU,Card slot,Internal,Triple,Features,Video,Dual,Features,Video,Loudspeaker,3.5mm jack,Untitled,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Untitled,Untitled,Charging,Talk time,Music play,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker,Audio quality,Battery life
Acer Chromebook Tab 10,No cellular connectivity,N/A,Non-removable Li-Po 4500 mAh battery (34 Wh),,Non-removable Li-Po 4500 mAh battery (34 Wh),,Non-removable Li-Po 4500 mAh battery (34 Wh),Non-removable Li-Po 4500 mAh battery (34 Wh),,"2018, March","Available. Released 2018, July",238.3 x 172.2 x 9.9 mm (9.38 x 6.78 x 0.39 in),544.3 g (1.20 lb),,No,Non-removable Li-Po 4500 mAh battery (34 Wh),"IPS LCD capacitive touchscreen, 16M colors","9.7 inches, 291.4 cm","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",,Non-removable Li-Po 4500 mAh battery (34 Wh),Chrome OS,Rockchip RK3399,Hexa-core (4x Cortex-A53 & 2x Cortex-A72),,"microSD, up to 128 GB",32GB 4GB RAM,,,_,,,_,"Yes, with stereo speakers",Yes,Non-removable Li-Po 4500 mAh battery (34 Wh),"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct","4.1, A2DP, LE",_,,No,"3.1, Type-C 1.0 reversible connector",Accelerometer,Non-removable Li-Po 4500 mAh battery (34 Wh),Non-removable Li-Po 4500 mAh battery (34 Wh),,Up to 9 h (multimedia),,"Black, Blue",,,,About 330 EUR,,,,"Yes, with stereo speakers",,
Acer Iconia Talk S,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Non-removable Li-Ion 3400 mAh battery (12.92 Wh),HSDPA 850 / 1900 / 2100,Non-removable Li-Ion 3400 mAh battery (12.92 Wh),"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800)",Non-removable Li-Ion 3400 mAh battery (12.92 Wh),Non-removable Li-Ion 3400 mAh battery (12.92 Wh),"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2016, August","Available. Released 2016, October",191.7 x 101 x 9.4 mm (7.55 x 3.98 x 0.37 in),260 g (9.17 oz),,Dual SIM (Micro-SIM/Nano-SIM),Non-removable Li-Ion 3400 mAh battery (12.92 Wh),"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 135.1 cm","720 x 1280 pixels, 16:9 ratio (~210 ppi density)",,Non-removable Li-Ion 3400 mAh battery (12.92 Wh),Android 6.0 (Marshmallow),Mediatek MT8735,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,"microSD, up to 128 GB (dedicated slot)","16GB 2GB RAM, 32GB 2GB RAM",,"HDR, panorama",720p,,"HDR, panorama",720p,Yes,Yes,Non-removable Li-Ion 3400 mAh battery (12.92 Wh),"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",,FM radio,microUSB 2.0,"Accelerometer, proximity",Non-removable Li-Ion 3400 mAh battery (12.92 Wh),Non-removable Li-Ion 3400 mAh battery (12.92 Wh),,Up to 9 h (multimedia),,Black,,,,About 170 EUR,,,,Yes,,
Acer Liquid Z6 Plus,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Non-removable Li-Po 4080 mAh battery,HSDPA,Non-removable Li-Po 4080 mAh battery,LTE (unspecified),Non-removable Li-Po 4080 mAh battery,Non-removable Li-Po 4080 mAh battery,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, August","Available. Released 2016, December",153.8 x 75.6 x 8.5 mm (6.06 x 2.98 x 0.33 in),169 g (5.96 oz),,"Single SIM (Micro-SIM) or Hybrid Dual SIM (Micro-SIM, dual stand-by)",Non-removable Li-Po 4080 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Non-removable Li-Po 4080 mAh battery,Android 6.0 (Marshmallow),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,Mali-T720MP3,"microSD, up to 256 GB (uses shared SIM slot)",32GB 3GB RAM,,"LED flash, HDR, panorama",_,,"LED flash, HDR, panorama",_,Yes,Yes,Non-removable Li-Po 4080 mAh battery,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity",Non-removable Li-Po 4080 mAh battery,Non-removable Li-Po 4080 mAh battery,,,,"Black, White",,,,About 250 EUR,,,,Yes,,
Acer Liquid Z6,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Removable Li-Ion 2000 mAh battery,HSDPA,Removable Li-Ion 2000 mAh battery,LTE (unspecified),Removable Li-Ion 2000 mAh battery,Removable Li-Ion 2000 mAh battery,"HSPA, LTE","2016, August","Available. Released 2016, December",145.5 x 72.5 x 8.5 mm (5.73 x 2.85 x 0.33 in),126 g (4.44 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",Removable Li-Ion 2000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Removable Li-Ion 2000 mAh battery,Android 6.0 (Marshmallow),Mediatek MT6737 (28 nm),Quad-core 1.25 GHz Cortex-A53,Mali-T720MP2,"microSD, up to 256 GB",8GB 1GB RAM,,"LED flash, HDR, panorama",_,,"LED flash, HDR, panorama",_,Yes,Yes,Removable Li-Ion 2000 mAh battery,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 2000 mAh battery,Removable Li-Ion 2000 mAh battery,,,,"Black, White",,,,About 120 EUR,,,,Yes,,
Acer Iconia Tab 10 A3-A40,No cellular connectivity,N/A,Non-removable Li-Ion 6100 mAh battery,,Non-removable Li-Ion 6100 mAh battery,,Non-removable Li-Ion 6100 mAh battery,Non-removable Li-Ion 6100 mAh battery,,"2016, April","Available. Released 2016, June",259 x 167 x 8.9 mm (10.20 x 6.57 x 0.35 in),-,,No,Non-removable Li-Ion 6100 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",,Non-removable Li-Ion 6100 mAh battery,Android 6.0 (Marshmallow),Mediatek MT8163A,Quad-core 1.3 GHz Cortex-A53,Mali-T720 MP2,"microSD, up to 256 GB (dedicated slot)","16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM",,,_,,,_,"Yes, with stereo speakers (4 speakers)",Yes,Non-removable Li-Ion 6100 mAh battery,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP",_,,No,microUSB 2.0,Accelerometer,Non-removable Li-Ion 6100 mAh battery,Non-removable Li-Ion 6100 mAh battery,,,,Black,,,,About 230 EUR,,,,"Yes, with stereo speakers (4 speakers)",,
Acer Liquid X2,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Removable Li-Po 4020 mAh battery,"HSDPA 900 / 1900 / 2100 - Europe, Taiwan",Removable Li-Po 4020 mAh battery,LTE 800 / 1800 / 2100 / 2600 - Europe,Removable Li-Po 4020 mAh battery,Removable Li-Po 4020 mAh battery,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, April","Available. Released 2016, February",153.3 x 78.8 x 8.5 mm (6.04 x 3.10 x 0.33 in),166 g (5.86 oz),,Triple SIM (Micro-SIM),Removable Li-Po 4020 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Removable Li-Po 4020 mAh battery,Android 5.1 (Lollipop),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,Mali-T720MP4,"microSD, up to 32 GB (dedicated slot)",32GB 3GB RAM,,LED flash,_,,LED flash,_,Voice 61dB / Noise 62dB / Ring 67dB,Yes,Removable Li-Po 4020 mAh battery,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Po 4020 mAh battery,Removable Li-Po 4020 mAh battery,,Up to 23 h (3G),,"Black, Gold",,,,About 230 EUR,Basemark OS II: 894 / Basemark OS II 2.0: 825,"Contrast ratio: 950 (nominal), 2.084 (sunlight)",Photo,Voice 61dB / Noise 62dB / Ring 67dB,Noise -86.1dB / Crosstalk -88.1dB,Endurance rating 85h
Acer Liquid Jade 2,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Non-removable Li-Po 3000 mAh battery,HSDPA 900 / 2100,Non-removable Li-Po 3000 mAh battery,LTE (unspecified),Non-removable Li-Po 3000 mAh battery,Non-removable Li-Po 3000 mAh battery,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, February",Available,156.6 x 75.9 x 8.4 mm (6.17 x 2.99 x 0.33 in),150 g (5.29 oz),,"Dual SIM (Nano-SIM, dual stand-by)",Non-removable Li-Po 3000 mAh battery,"Super AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Corning Gorilla Glass 4,Non-removable Li-Po 3000 mAh battery,Android 6.0 (Marshmallow),Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Adreno 418,"microSD, up to 256 GB",32GB 3GB RAM,,"Dual-LED flash, HDR, panorama",1080p@30fps,,"Dual-LED flash, HDR, panorama",1080p@30fps,Yes,Yes,Non-removable Li-Po 3000 mAh battery,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",Non-removable Li-Po 3000 mAh battery,Non-removable Li-Po 3000 mAh battery,,,,Black,,,,,,,,Yes,,
Acer Liquid Zest Plus,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Non-removable Li-Ion 5000 mAh battery,HSDPA,Non-removable Li-Ion 5000 mAh battery,LTE (unspecified),Non-removable Li-Ion 5000 mAh battery,Non-removable Li-Ion 5000 mAh battery,"HSPA, LTE","2016, April","Available. Released 2016, July",154 x 77 x 10 mm (6.06 x 3.03 x 0.39 in),-,,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",Non-removable Li-Ion 5000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Non-removable Li-Ion 5000 mAh battery,Android 6.0 (Marshmallow),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,microSD (dedicated slot),16GB 2GB RAM,,"LED flash, HDR, panorama",_,,"LED flash, HDR, panorama",_,Yes,Yes,Non-removable Li-Ion 5000 mAh battery,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity, compass",Non-removable Li-Ion 5000 mAh battery,Non-removable Li-Ion 5000 mAh battery,Battery charging 10W,,,"Blue, White",,,,About 200 EUR,,,,Yes,,
Acer Liquid Zest,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Removable Li-Ion 2000 mAh battery,HSDPA 850 / 900 / 1900 / 2100,Removable Li-Ion 2000 mAh battery,LTE (unspecified),Removable Li-Ion 2000 mAh battery,Removable Li-Ion 2000 mAh battery,"HSPA, LTE Cat4 150/50 Mbps","2016, February","Available. Released 2016, April",145.7 x 71.2 x 8.4 mm (5.74 x 2.80 x 0.33 in),125 g (4.41 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",Removable Li-Ion 2000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Removable Li-Ion 2000 mAh battery,Android 6.0 (Marshmallow),Mediatek MT6580 - Z525,Quad-core 1.3 GHz - Z525,Mali-400MP2 - Z525,"microSD, up to 32 GB (dedicated slot)",8GB 1GB RAM,,"LED flash, HDR, panorama",_,,"LED flash, HDR, panorama",_,Yes,Yes,Removable Li-Ion 2000 mAh battery,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 2000 mAh battery,Removable Li-Ion 2000 mAh battery,,,,"Black, White",,,,About 110 EUR,,,,Yes,,
Acer Predator 8,No cellular connectivity,N/A,Non-removable Li-Po 4420 mAh battery,,Non-removable Li-Po 4420 mAh battery,,Non-removable Li-Po 4420 mAh battery,Non-removable Li-Po 4420 mAh battery,,"2015, September","Available. Released 2015, November",217.9 x 127 x 8.6 mm (8.58 x 5.0 x 0.34 in),353.8 g (12.49 oz),,No,Non-removable Li-Po 4420 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm","1920 x 1200 pixels, 16:10 ratio (~283 ppi density)",,Non-removable Li-Po 4420 mAh battery,Android 5.0 (Lollipop),Intel Atom x7-Z8700,Quad-core 1.6 GHz,,"microSD, up to 256 GB (dedicated slot)","32GB 2GB RAM, 64GB 2GB RAM",,,_,,,_,"Yes, with stereo speakers (4 speakers)",Yes,Non-removable Li-Po 4420 mAh battery,Wi-Fi 802.11 a/b/g/n,"4.0, A2DP, LE",_,,No,microUSB 2.0,Yes,Non-removable Li-Po 4420 mAh battery,Non-removable Li-Po 4420 mAh battery,,Up to 8 h 30 min,,Black/Silver,GT-810-15NC,,,About 350 EUR,,,,"Yes, with stereo speakers (4 speakers)",,
